smiles,klebsiella_pneumoniae,heavy_atoms
O[C@@H]1CCOC[C@@H]1O,0.00084775040159,8
O[C@@H]1CC[C@@H](O)[C@H](O)C1,0.0007558132638223,9
O[C@@H]1CNC=Nc2[nH]cnc21,0.0013226353330537,11
O[C@@H]1COC[C@@H]1O,0.0010549692669883,7
O[C@@H]1COC[C@H]1O,0.0010549692669883,7
O[C@@H]1CO[C@@H](O)C[C@H]1O,0.0009604062070138,9
O[C@@H]1C[C@@H](O)[C@H](O)CO1,0.0009600646444596,9
O[C@@H]1[C@@H](O)[C@]2(OC[C@@H]1O)O[C@H]1[C@@H](O)COC[C@H]1O2,0.0056634228676557,18
O[C@H]1CCOC1,0.0009153578430414,6
O[C@H]1CCOC[C@@H]1O,0.00084775040159,8
O[C@H]1CC[C@H](O)[C@@H](O)C1,0.0007558132638223,9
O[C@H]1[C@H](O)COC[C@@H]1O,0.0009439660934731,9
Oc1cc(Cl)c(Cl)cc1Cl,0.0093732886016368,10
Oc1ccc(Cl)c(O)c1Cl,0.0096418298780918,10
Oc1ccc(Cl)cc1,0.003589532803744,8
Oc1ccc(Cl)cc1Cl,0.0087156146764755,9
Oc1cccc(Cl)c1,0.004251295235008,8
Oc1cccc(Cl)c1O,0.0062672900967299,9
Oc1cccc(O)c1,0.0017465318087488,8
Oc1ccccc1,0.0018501387676224,7
Oc1ccccc1O,0.0023197741247713,8
Oc1cccnc1,0.0029322474729269,7
SC1=Nc2ccccc2N=C(c2ccccc2)C1,0.0020846910774707,18
[N-]=[N+]=CC(=O)CCCC(=O)O,0.0017120031407102,11
[N-]=[N+]=CC(=O)CCCC=O,0.0014792212750762,10
[N-]=[N+]=NC1CCOC1,0.0060485312715172,8
